vec_size,list_size,ram_top_before_gc,ram_gc_reported,ram_top_after_gc,time_spent
10000,100000,3829,32.7,3255,14.5396966934204
10000,31622,3255,32.9,3255,4.40355157852173
10000,10000,3255,33.3,3255,1.6888439655304
10000,3162,3255,33.3,3255,0.861143350601196
10000,1000,3255,33.3,3255,0.589897632598877
10000,316,3255,33.3,3255,0.512155532836914
10000,100,3255,33.3,3255,0.478318691253662
1000,100000,3255,33.4,3255,2.10727691650391
1000,31622,3255,34.9,3255,0.995842695236206
1000,10000,3255,34.9,3255,0.648027896881104
1000,3162,3255,34.9,3255,0.526721715927124
1000,1000,3255,34.9,3255,0.490365743637085
1000,316,3255,34.9,3255,0.485490798950195
1000,100,3255,34.9,3255,0.477313280105591
100,100000,3255,34.9,3255,0.984289646148682
100,31622,3255,34.9,3255,0.645126104354858
100,10000,3255,34.9,3255,0.534024477005005
100,3162,3255,34.9,3255,0.49530553817749
100,1000,3255,34.9,3255,0.477689981460571
100,316,3255,34.9,3255,0.478368759155273
100,100,3255,34.9,3255,0.478769779205322
