vec_size,list_size,ram_top_before_gc,ram_gc_reported,ram_top_after_gc,time_spent
10000,100000,3829,32.8,70.404,14.6187615394592
10000,31622,1288,32.9,108.912,4.49879097938538
10000,10000,497.444,33.4,76.22,1.68565988540649
10000,3162,199.108,33.4,76.236,0.799606800079346
10000,1000,113.84,33.4,76.224,0.515610933303833
10000,316,88.16,33.4,76.224,0.435015201568604
10000,100,79.944,33.4,76.224,0.397627592086792
1000,100000,514.596,33.4,76.24,2.11450099945068
1000,31622,242.08,34.9,110.46,0.957229137420654
1000,10000,148.404,34.9,80.036,0.572579383850098
1000,3162,95.892,34.9,80.032,0.446308374404907
1000,1000,83.116,34.9,80.024,0.40610408782959
1000,316,80.564,34.9,80.024,0.403074026107788
1000,100,80.064,34.9,80.02,0.393253564834595
100,100000,156.616,34.9,105.44,0.924086570739746
100,31622,131.408,34.9,80.02,0.579571962356567
100,10000,107.104,34.9,89.82,0.454890966415405
100,3162,91.44,34.9,80.02,0.412672996520996
100,1000,80.876,34.9,80.02,0.401171445846558
100,316,80.06,34.9,80.016,0.391555309295654
100,100,80.032,34.9,80.012,0.393337965011597
