vec_size,list_size,ram_top_before_gc,ram_gc_reported,ram_top_after_gc,time_spent
10000,100000,3953,32.7,88.096,14.0832915306091
10000,31622,1307,32.9,91.46,4.5323851108551
10000,10000,519.192,33.3,102.652,1.70075058937073
10000,3162,230.592,33.3,95.632,0.812183618545532
10000,1000,135.616,33.3,94.848,0.526298999786377
10000,316,106.48,33.3,102.364,0.431040048599243
10000,100,103.604,33.3,102.364,0.401363134384155
1000,100000,517.2,33.4,97.22,2.19928050041199
1000,31622,231.968,34.9,96.028,0.973543405532837
1000,10000,157.188,34.9,101.436,0.583279609680176
1000,3162,120.668,34.9,101.94,0.451286792755127
1000,1000,105.1,34.9,102.068,0.415312528610229
1000,316,103.092,34.9,101.512,0.395488500595093
1000,100,101.768,34.9,101.824,0.397693872451782
100,100000,160.464,34.9,96.02,0.957651615142822
100,31622,120.984,34.9,98.156,0.581290483474731
100,10000,121.528,34.9,101.4,0.453296422958374
100,3162,108.772,34.9,96.032,0.41083836555481
100,1000,97.276,34.9,97.304,0.392974138259888
100,316,97.408,34.9,97.408,0.397376775741577
100,100,97.408,34.9,97.408,0.396303176879883
