vec_size,list_size,ram_top_before_gc,ram_gc_reported,ram_top_after_gc,time_spent
10000,100000,3907,32.7,112.84,14.8944983482361
10000,31622,1311,32.9,126.296,4.6993420124054
10000,10000,522.672,33.3,116.048,1.71952629089355
10000,3162,230.424,33.3,112.928,0.819868803024292
10000,1000,130.584,33.3,116.344,0.530219793319702
10000,316,116.344,33.3,116.344,0.43864631652832
10000,100,116.344,33.3,116.344,0.415664196014404
1000,100000,525.856,33.4,103.432,2.16031312942505
1000,31622,240.496,34.9,123.184,0.963478803634644
1000,10000,162.888,34.9,116.924,0.589731216430664
1000,3162,117.156,34.9,117.156,0.459182977676392
1000,1000,117.156,34.9,117.156,0.415925741195679
1000,316,117.156,34.9,117.156,0.404027938842773
1000,100,117.156,34.9,117.156,0.399880886077881
100,100000,168.768,34.9,124.316,0.94023609161377
100,31622,135.408,34.9,119.44,0.576668977737427
100,10000,131.664,34.9,121.996,0.455089330673218
100,3162,121.996,34.9,121.996,0.414532899856567
100,1000,121.996,34.9,121.996,0.406698703765869
100,316,121.996,34.9,121.996,0.407631635665894
100,100,121.996,34.9,121.996,0.396153450012207
