vec_size,list_size,ram_top_before_gc,ram_gc_reported,ram_top_after_gc,time_spent
100,100,60.748,32.7,60.748,0.381263017654419
100,316,60.748,32.9,60.748,0.375986814498901
100,1000,79.26,33.3,79.28,0.374517202377319
100,3162,79.28,33.3,79.28,0.396685838699341
100,10000,79.28,33.3,79.28,0.427286386489868
100,31622,86.036,33.3,86.048,0.667581558227539
100,100000,123.588,33.3,123.728,1.14879536628723
1000,100,123.728,33.4,123.728,0.370383501052856
1000,316,123.776,34.9,123.776,0.379730224609375
1000,1000,123.776,34.9,77.412,0.394552707672119
1000,3162,86.82,34.9,86.832,0.434983253479004
1000,10000,113.268,34.9,113.348,0.678698778152466
1000,31622,204.784,34.9,204.8,1.19288635253906
1000,100000,493.424,34.9,493.528,2.52113723754883
10000,100,493.528,35,114.788,0.41408896446228
10000,316,114.788,34.9,114.788,0.419819593429565
10000,1000,120.756,34.9,114.788,0.503613471984863
10000,3162,205.316,34.9,114.788,0.781920433044434
10000,10000,472.752,34.9,114.788,1.90389633178711
10000,31622,1263,34.9,299.764,4.85637331008911
10000,100000,3871,34.9,991,13.7262609004974
