vec_size,list_size,ram_top_before_gc,ram_gc_reported,ram_top_after_gc,time_spent
100,100,58.132,32.7,58.352,0.39565372467041
100,316,58.808,32.9,58.188,0.375484704971313
100,1000,79.328,33.4,68.8,0.384248971939087
100,3162,72.448,33.4,68.792,0.397887945175171
100,10000,72.816,33.4,68.796,0.424703121185303
100,31622,86.06,33.4,68.804,0.681850433349609
100,100000,123.808,33.4,68.804,1.16752529144287
1000,100,68.984,33.4,68.8,0.378025531768799
1000,316,71.384,34.9,69.052,0.377981662750244
1000,1000,73.564,34.9,69.056,0.394418954849243
1000,3162,86.896,34.9,69.056,0.433402061462402
1000,10000,113.484,34.9,69.048,0.682121276855469
1000,31622,205.056,34.9,69.048,1.20412611961365
1000,100000,493.644,34.9,72.336,2.5499005317688
10000,100,76.28,35,72.344,0.388622999191284
10000,316,84.892,34.9,72.344,0.417693614959717
10000,1000,112.48,34.9,72.336,0.505183935165405
10000,3162,200.86,34.9,72.348,0.792383909225464
10000,10000,469.112,34.9,72.324,1.90811634063721
10000,31622,1263,34.9,72.332,4.85408473014832
10000,100000,3871,34.9,99.916,13.7708694934845
