vec_size,list_size,ram_top_before_gc,ram_gc_reported,ram_top_after_gc,time_spent
100,100,71.332,32.7,71.396,0.378350019454956
100,316,71.396,32.9,71.396,0.372806549072266
100,1000,92.016,33.3,92.032,0.370103359222412
100,3162,96.128,33.3,96.128,0.379648447036743
100,10000,96.128,33.3,96.128,0.414507865905762
100,31622,110.464,33.3,93.272,0.643118619918823
100,100000,145.58,33.3,93.532,1.11636662483215
1000,100,93.928,33.4,94.036,0.378902673721313
1000,316,96.396,34.9,96.42,0.378812313079834
1000,1000,97.764,34.9,97.764,0.393544912338257
1000,3162,107.884,34.9,94.2,0.436216592788696
1000,10000,130.248,34.9,92.844,0.685117959976196
1000,31622,219.028,34.9,89.8,1.17470812797546
1000,100000,497.556,34.9,97.564,2.47528958320618
10000,100,98.532,35,98.532,0.388535499572754
10000,316,104.812,34.9,92.416,0.419750213623047
10000,1000,129.892,34.9,94.244,0.514707803726196
10000,3162,222.708,34.9,97.096,0.798552989959717
10000,10000,493.856,34.9,92.732,1.90470743179321
10000,31622,1310,34.9,90.772,4.7490451335907
10000,100000,3982,34.9,92.976,13.490629196167
